old_name,new_name
LM.NA_DCU_DIEN_MY$NA_DCU_DIEN_HAI_2.kml,NA_DCU_DIEN_MY-NA_DCU_DIEN_HAI_2.kml
LM.NA_DCU_DIEN_NGOC$NA_DCU_DIEN_CHAU.kml,NA_DCU_DIEN_NGOC-NA_DCU_DIEN_CHAU.kml
LM.NA_DCU_DIEN_PHU$NA_DCU_DIEN_AN.kml,NA_DCU_DIEN_PHU-NA_DCU_DIEN_AN.kml
LM.NA_DCU_DIEN_PHU_2$NA_DCU_DIEN_PHU.kml,NA_DCU_DIEN_PHU_2-NA_DCU_DIEN_PHU.kml
LM.NA_DCU_DIEN_PHUC_2$NA_DCU_DIEN_CHAU.kml,NA_DCU_DIEN_PHUC_2-NA_DCU_DIEN_CHAU.kml
LM.NA_DCU_DIEN_THAI$NA_YTH_HOP_THANH.kml,NA_DCU_DIEN_THAI-NA_YTH_HOP_THANH.kml
LM.NA_DCU_DIEN_THANG$NA_DCU_DIEN_THANG_2.kml,NA_DCU_DIEN_THANG_2-NA_DCU_DIEN_THANG.kml
LM.NA_DCU_DIEN_THANH$NA_DCU_DIEN_CHAU.kml,NA_DCU_DIEN_THANH-NA_DCU_DIEN_CHAU.kml
LM.NA_DCU_DIEN_THINH$NA_DCU_DIEN_CHAU_2.kml,NA_DCU_DIEN_THINH-NA_DCU_DIEN_CHAU_2.kml
LM.NA_DCU_DIEN_TRUNG$NA_DCU_DIEN_BINH.kml,NA_DCU_DIEN_TRUNG-NA_DCU_DIEN_BINH.kml
LM.NA_DCU_DIEN_TRUONG_2$NA_DCU_DIEN_TRUONG.kml,NA_DCU_DIEN_TRUONG_2-NA_DCU_DIEN_TRUONG.kml
LM.NA_DCU_DIEN_XUAN$NA_DCU_CAU_BUNG.kml,NA_DCU_DIEN_XUAN-NA_DCU_CAU_BUNG.kml
LM.NA_DCU_MINH_CHAU$NA_DCU_DIEN_THANG.kml,NA_DCU_MINH_CHAU-NA_DCU_DIEN_THANG.kml
LM.NA_DCU_MUONG_THANH_DIEN_LAM$NA_DCU_DIEN_LAM_2.kml,NA_DCU_MUONG_THANH_DIEN_LAM-NA_DCU_DIEN_LAM_2.kml
LM.NA_DCU_DIEN_CHAU_AGG$NA_DCU_DIEN_CHAU.kml,NA_DCU_DIEN_CHAU_AGG-NA_DCU_DIEN_CHAU.kml
CSG11.NA_DCU_CAU_BUNG$NA_DCU_DIEN_HONG.kml,NA_DCU_CAU_BUNG-NA_DCU_DIEN_HONG.kml
CSG9.NA_DCU_DIEN_BINH$NA_DCU_DIEN_CHAU.kml,NA_DCU_DIEN_BINH-NA_DCU_DIEN_CHAU.kml
CSG11.NA_DCU_DIEN_CHAU$NA_DCU_CAU_BUNG.kml,NA_DCU_DIEN_CHAU-NA_DCU_CAU_BUNG.kml
CSG12.NA_DCU_DIEN_CHAU$NA_DCU_DIEN_KIM.kml,NA_DCU_DIEN_CHAU-NA_DCU_DIEN_KIM.kml
CSG9.NA_DCU_DIEN_THANG$NA_DCU_DIEN_CHAU.kml,NA_DCU_DIEN_CHAU-NA_DCU_DIEN_THANG.kml
CSG11.NA_DCU_DIEN_HONG$NA_DCU_YEN_LY.kml,NA_DCU_DIEN_HONG-NA_DCU_YEN_LY.kml
CSG12.NA_DCU_DIEN_TRUONG$NA_DCU_DIEN_HUNG.kml,NA_DCU_DIEN_HUNG-NA_DCU_DIEN_TRUONG.kml
CSG12.NA_DCU_DIEN_HUNG$NA_DCU_DIEN_KIM.kml,NA_DCU_DIEN_KIM-NA_DCU_DIEN_HUNG.kml
CSG12.NA_DCU_DIEN_TRUONG$NA_QLU_CAU_GIAT.kml,NA_DCU_DIEN_TRUONG-NA_QLU_CAU_GIAT.kml
CSG11.NA_QLU_CAU_GIAT$NA_DCU_YEN_LY.kml,NA_DCU_YEN_LY-NA_QLU_CAU_GIAT.kml
LM.NA_DLG_DO_LUONG$NA_DLG_DO_LUONG_2.kml,NA_DLG_DO_LUONG_2-NA_DLG_DO_LUONG.kml
LM.NA_DLG_THINH_SON$NA_DLG_HOA_SON.kml,NA_DLG_HOA_SON-NA_DLG_THINH_SON.kml
LM.NA_DLG_MY_SON_2$NA_DLG_MY_SON.kml,NA_DLG_MY_SON-NA_DLG_MY_SON_2.kml
LM.NA_DLG_BAC_SON$NA_DLG_NAM_SON_3.kml,NA_DLG_NAM_SON_3-NA_DLG_BAC_SON.kml
LM.NA_DLG_MINH_SON$NA_DLG_NHAN_SON.kml,NA_DLG_NHAN_SON-NA_DLG_MINH_SON.kml
LM.NA_DLG_THINH_SON$NA_DLG_TAN_SON_2.kml,NA_DLG_TAN_SON_2-NA_DLG_THINH_SON.kml
LM.NA_DLG_DO_LUONG$NA_DLG_THINH_SON.kml,NA_DLG_THINH_SON-NA_DLG_DO_LUONG.kml
LM.NA_DLG_TRUNG_SON$NA_DLG_DA_SON.kml,NA_DLG_TRUNG_SON-NA_DLG_DA_SON.kml
LM.NA_DLG_VINH_LOC_2$NA_DLG_GIANG_SON.kml,NA_DLG_VINH_LOC_2-NA_DLG_GIANG_SON.kml
LM.NA_DLG_BAC_SON$NA_DLG_NAM_SON.kml,NA_DLG_BAC_SON-NA_DLG_NAM_SON.kml
LM.NA_DLG_LAM_SON$NA_DLG_VINH_LOC_2.kml,NA_DLG_LAM_SON-NA_DLG_VINH_LOC_2.kml
LM.NA_HMA_HOANG_MAI$NA_HMA_CN_HOANG_MAI.kml,NA_HMA_HOANG_MAI-NA_HMA_CN_HOANG_MAI.kml
LM.NA_HMA_MAI_HUNG$NA_HMA_QUYNH_THIEN.kml,NA_HMA_MAI_HUNG-NA_HMA_QUYNH_THIEN.kml
LM.NA_HMA_QUYNH_LAP$NA_HMA_QUYNH_LAP_4.kml,NA_HMA_QUYNH_LAP-NA_HMA_QUYNH_LAP_4.kml
LM.NA_HMA_QUYNH_LAP_2$NA_HMA_QUYNH_LAP.kml,NA_HMA_QUYNH_LAP_2-NA_HMA_QUYNH_LAP.kml
LM.NA_HMA_QUYNH_LAP_4$NA_HMA_QUYNH_LOC_2.kml,NA_HMA_QUYNH_LAP_4-NA_HMA_QUYNH_LOC_2.kml
LM.NA_HMA_QUYNH_LOC_2$NA_HMA_QUYNH_LOC.kml,NA_HMA_QUYNH_LOC_2-NA_HMA_QUYNH_LOC.kml
LM.NA_HMA_QUYNH_LOC_3$NA_HMA_QUYNH_LOC.kml,NA_HMA_QUYNH_LOC_3-NA_HMA_QUYNH_LOC.kml
